District,Year,Total_Accounts_Thousands,Total_Deposits_Rs_Million,Metro_Accounts_Thousands,Metro_Deposits_Cr,Rural_Accounts_Thousands,Rural_Deposits_Cr,SemiUrban_Accounts_Thousands,SemiUrban_Deposits_Cr,Urban_Accounts_Thousands,Urban_Deposits_Cr,Total_Deposits_Cr
ALAPUZHA,2014-15,3715.021,196573.791,,,122.895,408.4996,2877.051,15796.05,715.075,3452.8295,19657.38
ALAPUZHA,2015-16,3993.198,218889.527,,,17.948,75.2819,3163.769,17942.8175,811.481,3870.8533,21888.95
ALAPUZHA,2016-17,4158.611,260965.265,,,19.018,91.7629,3547.478,22416.3912,592.115,3588.3724,26096.53
ALAPUZHA,2017-18,4440.837,277712.684,,,19.958,102.1857,3787.472,24011.6355,633.407,3657.4472,27771.27
ALIGARH,2009-10,1848.871,54408.434,,,649.915,757.8575,372.887,707.6179,826.069,3975.368,5440.84
ALIGARH,2010-11,2059.543,66674.337,,,733.517,884.7201,431.442,864.1361,894.584,4918.5775,6667.43
ALIGARH,2011-12,2229.268,77819.196,,,795.691,992.0032,483.668,998.4071,949.909,5791.5093,7781.92
ALIGARH,2012-13,2518.865,90128.381,,,891.565,1165.6278,569.569,1192.1986,1057.731,6655.0117,9012.84
ALIGARH,2013-14,3009.053,107051.289,,,1127.093,1360.0078,703.629,1412.3667,1178.331,7932.7544,10705.13
ALIGARH,2014-15,3430.142,116509.94,,,1226.524,1505.2286,832.875,1617.1045,1370.743,8528.6609,11650.99
ALIGARH,2015-16,3882.234,129093.881,,,1428.594,1679.9814,949.139,1724.2862,1504.501,9505.1205,12909.39
ALIGARH,2016-17,4269.845,157864.053,,,1428.941,2198.6748,1175.609,2171.0601,1665.295,11416.6704,15786.41
ALIGARH,2017-18,4494.605,170962.269,,,1538.339,2352.8245,1243.876,2359.4249,1712.39,12383.9775,17096.23
ALIPURDUAR,2015-16,1356.114,18654.098,,,952.266,951.3705,403.848,914.0393,,,1865.41
ALIPURDUAR,2016-17,1701.31,25669.028,,,1029.325,1115.5586,671.985,1451.3442,,,2566.9
ALIPURDUAR,2017-18,1794.967,27552.484,,,1083.337,1244.762,711.63,1510.4864,,,2755.25
ALIRAJPUR,2009-10,135.65,3329.288,,,85.761,149.9486,49.889,182.9802,,,332.93
ALIRAJPUR,2010-11,154.12,3763.203,,,98.97,178.4641,55.15,197.8562,,,376.32
ALIRAJPUR,2011-12,193.921,4293.095,,,125.903,206.6263,68.018,222.6832,,,429.31
ALIRAJPUR,2012-13,216.076,4453.646,,,136.84,224.3115,79.236,221.0531,,,445.36
ALIRAJPUR,2013-14,295.005,5763.586,,,189.868,264.9202,105.137,311.4384,,,576.36
ALIRAJPUR,2014-15,396.759,6361.365,,,249.94,284.432,146.819,351.7045,,,636.14
ALIRAJPUR,2015-16,489.318,6822.512,,,306.137,302.9804,183.181,379.2708,,,682.25
ALIRAJPUR,2016-17,618.903,9327.526,,,219.92,229.5859,398.983,703.1667,,,932.75
ALIRAJPUR,2017-18,680.544,9642.128,,,243.438,228.7191,437.106,735.4937,,,964.21
ALLAHABAD,2009-10,3689.188,123899.342,1861.613,9787.5177,1454.344,1814.6446,373.231,787.7719,,,12389.93
ALLAHABAD,2010-11,4120.894,144835.224,2050.076,11368.8563,1643.535,2157.6877,427.283,956.9784,,,14483.52
ALLAHABAD,2011-12,4399.089,170019.135,2178.09,13314.8162,1742.97,2527.8532,478.029,1159.2441,,,17001.91
ALLAHABAD,2012-13,4886.388,210738.99,2406.819,16497.2714,1935.854,3119.7937,543.715,1456.8339,,,21073.9
ALLAHABAD,2013-14,5514.611,243811.761,2578.362,18809.8126,2301.303,3818.2039,634.946,1753.1596,,,24381.18
ALLAHABAD,2014-15,6389.376,279270.578,2836.863,21510.0374,2769.343,4349.8767,783.17,2067.1437,,,27927.06
ALLAHABAD,2015-16,7255.377,297431.738,3108.654,22591.0229,3203.459,4818.3052,943.264,2333.8457,,,29743.17
ALLAHABAD,2016-17,8043.789,363379.37,3362.226,27584.2215,3264.46,5335.83,1417.103,3417.8855,,,36337.94
ALLAHABAD,2017-18,8373.611,397541.254,3435.067,29933.4675,3454.991,6031.3361,1483.553,3789.3218,,,39754.13
ALMORA,2009-10,507.828,14642.466,,,329.206,742.0988,178.622,722.1478,,,1464.25
ALMORA,2010-11,541.144,17128.234,,,343.524,856.9671,197.62,855.8563,,,1712.82
ALMORA,2011-12,589.317,19557.003,,,372.272,971.029,217.045,984.6713,,,1955.7
ALMORA,2012-13,680.794,22140.11,,,442.269,1094.5875,238.525,1119.4235,,,2214.01
ALMORA,2013-14,739.931,25244.74,,,490.516,1251.1832,249.415,1273.2908,,,2524.47
ALMORA,2014-15,868.955,30132.532,,,586.953,1485.2829,282.002,1527.9703,,,3013.25
ALMORA,2015-16,959.128,33446.979,,,667.554,1723.6983,291.574,1620.9996,,,3344.7
ALMORA,2016-17,1035.374,40089.553,,,727.424,2204.6067,307.95,1804.3486,,,4008.96
ALMORA,2017-18,1071.839,44119.758,,,756.765,2438.2398,315.074,1973.736,,,4411.98
ALWAR,2009-10,1395.823,45924.491,,,573.707,1405.4705,366.923,1199.7998,455.193,1987.1788,4592.45
ALWAR,2010-11,1612.535,55535.987,,,683.854,1906.6169,429.46,1439.9276,499.221,2207.0542,5553.6
ALWAR,2011-12,1905.583,65803.922,,,819.18,2160.6961,532.423,1728.7005,553.98,2690.9956,6580.39
ALWAR,2012-13,2242.931,81603.831,,,950.05,2547.8237,674.08,2506.2331,618.801,3106.3263,8160.38
ALWAR,2013-14,2658.071,93450.489,,,1188.472,2931.9981,804.682,2869.4285,664.917,3543.6223,9345.05
ALWAR,2014-15,3220.245,106128.311,,,1455.262,3284.0477,981.876,3213.8787,783.107,4114.9047,10612.83
ALWAR,2015-16,4070.718,116776.511,,,1982.617,3404.17,1241.56,3623.7341,846.541,4649.747,11677.65
ALWAR,2016-17,4525.335,143252.263,,,1918.556,3726.7246,1321.218,3038.2758,1285.561,7560.2259,14325.23
ALWAR,2017-18,4804.05,159136.788,,,2012.924,4196.6824,1435.2,3312.7588,1355.926,8404.2376,15913.68
AMBALA,2009-10,1260.062,50698.444,,,242.746,618.0923,289.807,1146.4142,727.509,3305.3379,5069.84
AMBALA,2010-11,1371.191,58347.014,,,274.787,734.2129,316.165,1372.1184,780.239,3728.3701,5834.7
AMBALA,2011-12,1466.04,68954.574,,,299.448,867.165,351.252,1591.9001,815.34,4436.3923,6895.46
AMBALA,2012-13,1636.45,79998.134,,,359.663,1001.7906,400.477,1917.3786,876.31,5080.6442,7999.81
AMBALA,2013-14,1853.761,93615.499,,,444.381,1286.2874,456.106,2277.8758,953.274,5797.3867,9361.55
AMBALA,2014-15,2126.861,107457.915,,,564.316,1520.0388,515.831,2664.2941,1046.714,6561.4586,10745.79
AMBALA,2015-16,2400.457,121677.653,,,653.269,1717.2632,598.893,2986.0068,1148.295,7464.4953,12167.77
AMBALA,2016-17,2570.007,142518.679,,,700.312,2129.2149,348.083,1351.4859,1521.612,10771.1671,14251.87
AMBALA,2017-18,2628.323,155930.501,,,738.038,2300.9454,363.15,1485.7044,1527.135,11806.4003,15593.05
AMBEDKAR NAGAR,2009-10,1232.812,15943.888,,,916.488,862.4957,316.324,731.8931,,,1594.39
AMBEDKAR NAGAR,2010-11,1403.576,19242.129,,,1036.103,1021.8219,367.473,902.391,,,1924.21
AMBEDKAR NAGAR,2011-12,1470.45,22976.85,,,1005.948,1176.8046,464.502,1120.8804,,,2297.68
AMBEDKAR NAGAR,2012-13,1633.605,27607.554,,,1088.036,1383.8311,545.569,1376.9243,,,2760.76
AMBEDKAR NAGAR,2013-14,1924.336,32649.065,,,1274.614,1608.1275,649.722,1656.779,,,3264.91
AMBEDKAR NAGAR,2014-15,2291.333,36437.642,,,1506.415,1806.7376,784.918,1837.0266,,,3643.76
AMBEDKAR NAGAR,2015-16,2596.052,41732.497,,,1704.68,2081.5247,891.372,2091.725,,,4173.25
AMBEDKAR NAGAR,2016-17,2838.99,50942.126,,,1710.461,2238.054,730.782,1646.661,397.747,1209.4976,5094.21
AMBEDKAR NAGAR,2017-18,2992.005,57492.404,,,1807.791,2566.6458,768.243,1834.1083,415.971,1348.4863,5749.24
AMETHI,2013-14,1763.545,33336.579,,,1397.902,2424.1874,365.643,909.4705,,,3333.66
AMETHI,2014-15,2077.853,39377.063,,,1655.379,2908.2902,422.474,1029.4161,,,3937.71
AMETHI,2015-16,2467.116,45073.604,,,1995.805,3405.6271,471.311,1101.7333,,,4507.36
AMETHI,2016-17,2401.803,51328.225,,,2029.106,4057.642,372.697,1075.1805,,,5132.82
AMETHI,2017-18,2526.99,58732.819,,,2134.21,4678.147,392.78,1195.1349,,,5873.28
AMRAVATI,2009-10,1109.915,33548.101,,,316.281,499.0071,277.931,695.535,515.703,2160.268,3354.81
AMRAVATI,2010-11,1347.656,41767.328,,,388.904,584.6643,357.81,859.4585,600.942,2732.61,4176.73
AMRAVATI,2011-12,1591.979,50150.921,,,468.962,700.3481,423.244,1075.8912,699.773,3238.8528,5015.09
AMRAVATI,2012-13,2148.697,58122.141,,,716.034,807.4307,583.223,1140.4431,849.44,3864.3403,5812.21
AMRAVATI,2013-14,2522.301,71584.945,,,845.307,990.8037,683.095,1471.2493,993.899,4696.4415,7158.49
AMRAVATI,2014-15,2938.666,79643.196,,,993.395,1170.5503,809.444,1661.5308,1135.827,5132.2385,7964.32
AMRAVATI,2015-16,3331.773,90397.484,,,1158.974,1260.6289,902.125,1728.477,1270.674,6050.6425,9039.75
AMRAVATI,2016-17,3592.198,108508.877,,,1227.368,1595.2076,993.365,2267.7245,1371.465,6987.9556,10850.89
AMRAVATI,2017-18,3773.74,118384.146,,,1315.64,1793.3337,1042.72,2424.8893,1415.38,7620.1916,11838.41
AMRELI,2009-10,680.068,20064.239,,,224.772,477.7595,455.296,1528.6644,,,2006.42
AMRELI,2010-11,747.743,24072.049,,,253.145,567.4212,494.598,1839.7837,,,2407.2
AMRELI,2011-12,834.236,27323.464,,,275.537,558.8565,558.699,2173.4899,,,2732.35
AMRELI,2012-13,971.511,31754.313,,,320.202,667.4074,651.309,2508.0239,,,3175.43
AMRELI,2013-14,1207.1,36453.077,,,411.685,762.5241,795.415,2882.7836,,,3645.31
AMRELI,2014-15,1402.023,40938.713,,,481.282,844.7475,920.741,3249.1238,,,4093.87
AMRELI,2015-16,1515.895,44553.285,,,511.245,926.7338,1004.65,3528.5947,,,4455.33
AMRELI,2016-17,1694.595,56787.465,,,550.637,1193.5994,819.028,2667.7591,324.93,1817.388,5678.75
AMRELI,2017-18,1727.764,58671.398,,,572.978,1235.5736,832.124,2745.1367,322.662,1886.4295,5867.14
AMRITSAR,2009-10,2862.74,128949.601,2062.015,10137.923,563.113,2051.8382,237.612,705.1989,,,12894.96
AMRITSAR,2010-11,3030.481,162666.363,2148.832,13178.7153,618.514,2299.2915,263.135,788.6295,,,16266.64
AMRITSAR,2011-12,3249.407,171035.939,2242.713,13529.9132,711.057,2632.8493,295.637,940.8314,,,17103.59
AMRITSAR,2012-13,3598.905,199248.104,2422.525,15689.7557,822.125,3046.9879,354.255,1188.0668,,,19924.81
AMRITSAR,2013-14,3913.898,227975.188,2583.883,17938.0286,941.718,3518.3514,388.297,1341.1388,,,22797.52
AMRITSAR,2014-15,4360.417,258924.449,2807.461,20310.0484,1117.457,4073.469,435.499,1508.9275,,,25892.44
AMRITSAR,2015-16,4924.182,283647.674,3191.528,22540.0879,1242.235,4227.9377,490.419,1596.7418,,,28364.77
AMRITSAR,2016-17,5348.179,321123.359,3427.834,25301.025,1266.979,4488.1733,653.366,2323.1376,,,32112.34
AMRITSAR,2017-18,5368.484,333570.706,3391.679,26234.4646,1296.184,4577.5588,680.621,2545.0472,,,33357.07
ANAND,2009-10,1794.642,104411.252,,,403.837,1427.74,940.575,4410.2258,450.23,4603.1594,10441.13
ANAND,2010-11,1972.441,117253.769,,,440.285,1644.5835,1057.967,5107.3654,474.189,4973.428,11725.38
ANAND,2011-12,2168.099,134959.605,,,488.158,1934.4566,1155.793,5991.475,524.148,5570.0289,13495.96
ANAND,2012-13,2450.863,158725.303,,,568.371,2288.1383,1311.396,6941.8022,571.096,6642.5898,15872.53
ANAND,2013-14,2981.828,196396.058,,,773.939,2847.655,1557.643,8265.1005,650.246,8526.8503,19639.61
ANAND,2014-15,3386.641,220505.683,,,907.256,3332.9583,1756.458,9614.4746,722.927,9103.1354,22050.57
ANAND,2015-16,3682.938,242061.386,,,990.561,3764.3006,1882.206,10541.2383,810.171,9900.5997,24206.14
