State,District,Year,No_of_Accounts,Credit_Limit_Cr,Amount_Outstanding_Cr,Credit_Utilization_Ratio
GUJARAT,NARMADA,2023,82394,1749.282,1354.8337,0.7745
GUJARAT,NARMADA,2024,95217,2212.1673,1652.7562,0.7471
GUJARAT,NAVSARI,2019,175935,6725.1929,4883.4173,0.7261
GUJARAT,NAVSARI,2020,208032,7816.9839,5572.6501,0.7129
GUJARAT,NAVSARI,2021,234264,8820.6221,6256.0417,0.7093
GUJARAT,NAVSARI,2022,256066,10135.2585,7195.8047,0.71
GUJARAT,NAVSARI,2023,281647,11774.6729,8439.6777,0.7168
GUJARAT,NAVSARI,2024,305335,13781.6657,9843.15,0.7142
GUJARAT,PANCH MAHALS,2019,184755,4272.5846,2867.4508,0.6711
GUJARAT,PANCH MAHALS,2020,220208,4500.2922,3044.4909,0.6765
GUJARAT,PANCH MAHALS,2021,248074,5246.914,3424.9075,0.6527
GUJARAT,PANCH MAHALS,2022,269156,6206.6296,3989.0508,0.6427
GUJARAT,PANCH MAHALS,2023,300163,7141.9605,4817.2501,0.6745
GUJARAT,PANCH MAHALS,2024,445676,10357.0576,7436.4029,0.718
GUJARAT,PATAN,2019,115955,4108.4703,3107.1533,0.7563
GUJARAT,PATAN,2020,126790,4299.7306,3268.9326,0.7603
GUJARAT,PATAN,2021,148193,4732.9627,3643.5711,0.7698
GUJARAT,PATAN,2022,161754,5298.473,4082.0665,0.7704
GUJARAT,PATAN,2023,183184,6088.1588,4647.6526,0.7634
GUJARAT,PATAN,2024,214424,7272.268,5604.8967,0.7707
GUJARAT,PORBANDAR,2019,71605,3129.8863,2282.2912,0.7292
GUJARAT,PORBANDAR,2020,80499,3794.1434,2687.7142,0.7084
GUJARAT,PORBANDAR,2021,88854,4143.1793,2888.0463,0.6971
GUJARAT,PORBANDAR,2022,90429,4467.4391,3065.7604,0.6862
GUJARAT,PORBANDAR,2023,101405,5095.4931,3545.7094,0.6959
GUJARAT,PORBANDAR,2024,95057,5308.0732,3666.4279,0.6907
GUJARAT,RAJKOT,2019,600437,54107.2474,37703.9383,0.6968
GUJARAT,RAJKOT,2020,701622,58833.0852,40397.5293,0.6866
GUJARAT,RAJKOT,2021,782431,66612.7625,46185.6477,0.6933
GUJARAT,RAJKOT,2022,926678,78165.3622,51919.0532,0.6642
GUJARAT,RAJKOT,2023,1086544,91614.3117,60858.8348,0.6643
GUJARAT,RAJKOT,2024,1246570,115754.8052,76421.8387,0.6602
GUJARAT,SABAR KANTHA,2019,223804,9298.7614,6905.7268,0.7427
GUJARAT,SABAR KANTHA,2020,249606,9853.6128,7031.511,0.7136
GUJARAT,SABAR KANTHA,2021,277650,10732.7336,7818.7397,0.7285
GUJARAT,SABAR KANTHA,2022,296892,11419.9006,8069.3381,0.7066
GUJARAT,SABAR KANTHA,2023,322368,12971.1808,9136.4916,0.7044
GUJARAT,SABAR KANTHA,2024,355157,15587.4871,11148.6203,0.7152
GUJARAT,SURAT,2019,1160002,113503.4883,80127.5188,0.7059
GUJARAT,SURAT,2020,1426128,122209.813,84723.3504,0.6933
GUJARAT,SURAT,2021,1609918,141498.7261,95955.0186,0.6781
GUJARAT,SURAT,2022,1776205,149004.0783,100996.2876,0.6778
GUJARAT,SURAT,2023,2045091,179945.2772,118938.7666,0.661
GUJARAT,SURAT,2024,2344202,227813.9268,146818.6349,0.6445
GUJARAT,SURENDRANAGAR,2019,177181,6855.329,5331.8051,0.7778
GUJARAT,SURENDRANAGAR,2020,198249,7707.0473,5835.9221,0.7572
GUJARAT,SURENDRANAGAR,2021,226552,8737.6866,6619.4122,0.7576
GUJARAT,SURENDRANAGAR,2022,235351,9464.8556,6926.5141,0.7318
GUJARAT,SURENDRANAGAR,2023,262277,11038.5222,8265.0979,0.7488
GUJARAT,SURENDRANAGAR,2024,302490,13610.7089,9938.2115,0.7302
GUJARAT,TAPI,2019,38859,1155.6831,838.4968,0.7255
GUJARAT,TAPI,2020,53874,1374.1552,1035.7478,0.7537
GUJARAT,TAPI,2021,63528,1593.0338,1195.465,0.7504
GUJARAT,TAPI,2022,70180,1985.6818,1494.3646,0.7526
GUJARAT,TAPI,2023,78756,2338.8179,1748.7512,0.7477
GUJARAT,TAPI,2024,90182,3230.0841,2212.699,0.685
GUJARAT,VADODARA,2019,1076741,104142.399,63080.5427,0.6057
GUJARAT,VADODARA,2020,1251568,105242.9798,60710.1254,0.5769
GUJARAT,VADODARA,2021,1317694,98618.8836,55977.3718,0.5676
GUJARAT,VADODARA,2022,1373768,107490.5422,63447.1047,0.5903
GUJARAT,VADODARA,2023,1458567,128289.6128,75960.5041,0.5921
GUJARAT,VADODARA,2024,1648016,160313.7503,97868.8126,0.6105
GUJARAT,VALSAD,2019,264325,15652.185,10216.849,0.6527
GUJARAT,VALSAD,2020,315860,17200.2232,11136.7338,0.6475
GUJARAT,VALSAD,2021,371237,19340.2156,12548.4118,0.6488
GUJARAT,VALSAD,2022,409435,23301.3312,14496.1009,0.6221
GUJARAT,VALSAD,2023,472583,28627.9119,17218.2388,0.6014
GUJARAT,VALSAD,2024,529332,37682.2622,22216.8839,0.5896
HARYANA,AMBALA,2019,282809,12177.4323,8625.5393,0.7083
HARYANA,AMBALA,2020,339317,12455.9876,8615.0954,0.6916
HARYANA,AMBALA,2021,347467,13438.1625,9286.3044,0.691
HARYANA,AMBALA,2022,362131,16444.6323,10790.944,0.6562
HARYANA,AMBALA,2023,411268,19252.6286,12563.0807,0.6525
HARYANA,AMBALA,2024,445896,22731.414,15269.7739,0.6717
HARYANA,BHIWANI,2019,188668,6289.2479,4821.44,0.7666
HARYANA,BHIWANI,2020,208495,6842.6904,5172.4987,0.7559
HARYANA,BHIWANI,2021,227435,7555.8892,5640.7474,0.7465
HARYANA,BHIWANI,2022,245118,8700.7771,6506.9497,0.7479
HARYANA,BHIWANI,2023,281016,10472.8367,7806.9841,0.7455
HARYANA,BHIWANI,2024,329627,12590.0803,9232.6329,0.7333
HARYANA,CHARKI DADRI,2019,50458,2883.1199,1513.7332,0.525
HARYANA,CHARKI DADRI,2020,53998,3079.328,1614.9141,0.5244
HARYANA,CHARKI DADRI,2021,58365,3334.7028,1806.0189,0.5416
HARYANA,CHARKI DADRI,2022,62845,3688.0646,2032.8182,0.5512
HARYANA,CHARKI DADRI,2023,76451,3217.8689,2460.6496,0.7647
HARYANA,CHARKI DADRI,2024,89349,5016.5824,3092.742,0.6165
HARYANA,FARIDABAD,2019,540238,44787.8808,25866.8659,0.5775
HARYANA,FARIDABAD,2020,652095,47153.638,26342.114,0.5586
HARYANA,FARIDABAD,2021,671718,46930.6769,28562.674,0.6086
HARYANA,FARIDABAD,2022,716305,55365.5092,33183.2682,0.5993
HARYANA,FARIDABAD,2023,773000,67068.55,39657.7541,0.5913
HARYANA,FARIDABAD,2024,849588,82557.9404,50634.6194,0.6133
HARYANA,FATEHABAD,2019,165247,6009.6673,4813.1066,0.8009
HARYANA,FATEHABAD,2020,202173,6710.9538,5312.2537,0.7916
HARYANA,FATEHABAD,2021,215813,7405.12,5798.8128,0.7831
HARYANA,FATEHABAD,2022,232478,8375.1922,6636.8619,0.7924
HARYANA,FATEHABAD,2023,261002,9685.3409,7488.3056,0.7732
HARYANA,FATEHABAD,2024,287077,11809.5347,9030.5414,0.7647
HARYANA,GURGAON,2019,1148716,166545.6895,104369.0447,0.6267
HARYANA,GURGAON,2020,1801417,196777.6283,117561.5565,0.5974
HARYANA,GURGAON,2021,1914606,207595.5658,122940.322,0.5922
HARYANA,GURGAON,2022,1980995,249717.0055,145828.9531,0.584
HARYANA,GURUGRAM,2023,2141509,303730.6896,185625.0943,0.6112
HARYANA,GURUGRAM,2024,2387260,408495.4877,257783.0814,0.6311
HARYANA,HISAR,2019,304340,20400.2036,13341.5606,0.654
HARYANA,HISAR,2020,373159,20496.7717,13843.6557,0.6754
HARYANA,HISAR,2021,418984,23129.5452,15701.4005,0.6788
HARYANA,HISAR,2022,443618,26773.1623,17809.8124,0.6652
HARYANA,HISAR,2023,498697,31596.1435,21708.4193,0.6871
HARYANA,HISAR,2024,551939,38262.3944,26601.5247,0.6952
HARYANA,JHAJJAR,2019,133776,5048.1307,3770.5504,0.7469
HARYANA,JHAJJAR,2020,166323,7033.9728,5011.4938,0.7125
HARYANA,JHAJJAR,2021,184479,9784.5216,7448.0163,0.7612
HARYANA,JHAJJAR,2022,194333,11782.264,8579.4785,0.7282
HARYANA,JHAJJAR,2023,214303,13151.6857,9323.6888,0.7089
HARYANA,JHAJJAR,2024,240618,16490.0887,11121.356,0.6744
HARYANA,JIND,2019,200517,7344.7337,5839.2586,0.795
HARYANA,JIND,2020,227904,7810.1993,6137.8756,0.7859
HARYANA,JIND,2021,247881,8539.7167,6598.2821,0.7727
HARYANA,JIND,2022,275314,9791.4189,7579.1722,0.7741
HARYANA,JIND,2023,315747,11690.044,8903.3423,0.7616
HARYANA,JIND,2024,356505,13974.9099,10335.3599,0.7396
HARYANA,KAITHAL,2019,183689,7959.8194,5902.1068,0.7415
HARYANA,KAITHAL,2020,215847,8154.6635,6240.8801,0.7653
HARYANA,KAITHAL,2021,229870,9001.0529,6788.4682,0.7542
HARYANA,KAITHAL,2022,258276,10578.3742,7895.7419,0.7464
HARYANA,KAITHAL,2023,291637,12257.6284,9204.0441,0.7509
HARYANA,KAITHAL,2024,319452,14853.8984,11013.0572,0.7414
HARYANA,KARNAL,2019,327047,22896.9022,17393.1635,0.7596
HARYANA,KARNAL,2020,400907,23985.1819,17448.4909,0.7275
HARYANA,KARNAL,2021,455548,24823.2027,18404.8816,0.7414
HARYANA,KARNAL,2022,471747,28552.2608,21328.2029,0.747
HARYANA,KARNAL,2023,538724,34703.8115,25586.6119,0.7373
HARYANA,KARNAL,2024,582141,41984.4466,30702.6481,0.7313
HARYANA,KURUKSHETRA,2019,201498,8481.0556,6614.5155,0.7799
HARYANA,KURUKSHETRA,2020,263421,9297.7247,7063.5647,0.7597
HARYANA,KURUKSHETRA,2021,288661,20139.0576,7560.7799,0.3754
HARYANA,KURUKSHETRA,2022,315701,11691.9095,8663.6377,0.741
HARYANA,KURUKSHETRA,2023,341918,13369.1107,9886.3255,0.7395
HARYANA,KURUKSHETRA,2024,360611,16044.4407,11772.2428,0.7337
HARYANA,MAHENDRAGARH,2019,113377,3584.8193,2733.146,0.7624
HARYANA,MAHENDRAGARH,2020,122880,3906.0602,2964.1737,0.7589
HARYANA,MAHENDRAGARH,2021,135154,4393.6153,3343.8416,0.7611
HARYANA,MAHENDRAGARH,2022,149837,5161.6463,3891.0077,0.7538
HARYANA,MAHENDRAGARH,2023,176343,6233.1512,4658.5215,0.7474
HARYANA,MAHENDRAGARH,2024,199921,7497.7209,5490.1107,0.7322
HARYANA,MEWAT,2019,44310,1078.2037,884.1589,0.82
HARYANA,MEWAT,2020,56112,1312.8385,1080.0839,0.8227
HARYANA,MEWAT,2021,64393,1471.7096,1179.0683,0.8012
HARYANA,MEWAT,2022,73453,2299.7539,1428.2314,0.621
HARYANA,MEWAT,2023,77510,2638.2485,1721.8372,0.6526
HARYANA,NUH,2024,87745,2646.2995,1986.1508,0.7505
HARYANA,PALWAL,2019,119080,3098.0899,2432.5287,0.7852
HARYANA,PALWAL,2020,126592,3512.8032,2636.3313,0.7505
HARYANA,PALWAL,2021,137071,4049.2637,2940.3092,0.7261
HARYANA,PALWAL,2022,148854,4477.3463,3226.8609,0.7207
HARYANA,PALWAL,2023,169304,5509.8681,3864.2754,0.7013
HARYANA,PALWAL,2024,188571,6827.7279,4884.8327,0.7154
HARYANA,PANCHKULA,2019,210249,26402.0578,19045.8037,0.7214
HARYANA,PANCHKULA,2020,235624,53673.2238,26979.9012,0.5027
HARYANA,PANCHKULA,2021,246503,39582.2224,17031.9511,0.4303
HARYANA,PANCHKULA,2022,242897,27638.2123,16108.1529,0.5828
HARYANA,PANCHKULA,2023,255815,29032.2361,18250.1193,0.6286
HARYANA,PANCHKULA,2024,286776,33817.4324,20288.2366,0.5999
HARYANA,PANIPAT,2019,230915,21042.8467,12781.1148,0.6074
HARYANA,PANIPAT,2020,303920,21011.1383,13680.4807,0.6511
HARYANA,PANIPAT,2021,338573,26119.5017,16052.5202,0.6146
HARYANA,PANIPAT,2022,392751,40471.87,19471.3698,0.4811
HARYANA,PANIPAT,2023,453226,38483.3482,23078.2813,0.5997
HARYANA,PANIPAT,2024,505857,42987.2374,27767.2358,0.6459
HARYANA,REWARI,2019,158782,6992.664,4883.1585,0.6983
HARYANA,REWARI,2020,246874,8082.0554,5436.2406,0.6726
HARYANA,REWARI,2021,282125,9418.1982,6601.7936,0.701
HARYANA,REWARI,2022,307041,11338.1798,7778.6452,0.6861
HARYANA,REWARI,2023,348361,13863.2978,9670.9872,0.6976
HARYANA,REWARI,2024,377781,16711.1507,11446.2995,0.6849
HARYANA,ROHTAK,2019,210887,13163.2579,9336.1128,0.7093
HARYANA,ROHTAK,2020,266207,14096.1056,9479.4348,0.6725
HARYANA,ROHTAK,2021,293438,15219.5412,10502.5628,0.6901
HARYANA,ROHTAK,2022,311683,18694.7452,12808.2232,0.6851
HARYANA,ROHTAK,2023,344402,22029.9681,15398.0854,0.699
HARYANA,ROHTAK,2024,382518,27010.0797,18582.0917,0.688
HARYANA,SIRSA,2019,237152,10014.4153,7804.2375,0.7793
HARYANA,SIRSA,2020,300455,11075.4709,8455.1153,0.7634
HARYANA,SIRSA,2021,314642,11905.6145,8980.9852,0.7543
HARYANA,SIRSA,2022,333850,13498.9664,10205.3079,0.756
HARYANA,SIRSA,2023,372970,15841.854,11981.4524,0.7563
HARYANA,SIRSA,2024,415853,19102.0388,14367.4499,0.7521
HARYANA,SONIPAT,2019,222515,19671.111,8978.8522,0.4564
HARYANA,SONIPAT,2020,244538,20894.6427,9251.4949,0.4428
HARYANA,SONIPAT,2021,277650,23053.0023,10054.7889,0.4362
HARYANA,SONIPAT,2022,292799,25342.9448,11275.8392,0.4449
HARYANA,SONIPAT,2023,323494,24763.2282,13216.6088,0.5337
HARYANA,SONIPAT,2024,368758,29971.941,17141.3741,0.5719
HARYANA,YAMUNANAGAR,2019,197088,9287.8177,7124.5668,0.7671
HARYANA,YAMUNANAGAR,2020,244565,10471.7889,7730.6249,0.7382
HARYANA,YAMUNANAGAR,2021,293209,11871.7669,8711.3887,0.7338
HARYANA,YAMUNANAGAR,2022,310252,13699.9935,9925.405,0.7245
HARYANA,YAMUNANAGAR,2023,350319,16156.5795,11482.8082,0.7107
HARYANA,YAMUNANAGAR,2024,391693,19315.8186,13562.3581,0.7021
HIMACHAL PRADESH,BILASPUR,2019,45126,1630.0247,1189.8609,0.73
HIMACHAL PRADESH,BILASPUR,2020,46750,1709.9979,1224.3139,0.716
HIMACHAL PRADESH,BILASPUR,2021,53514,1809.9546,1305.7897,0.7214
HIMACHAL PRADESH,BILASPUR,2022,54649,2041.585,1475.1901,0.7226
HIMACHAL PRADESH,BILASPUR,2023,56980,2143.177,1558.198,0.7271
HIMACHAL PRADESH,BILASPUR,2024,62893,2527.1351,1823.8187,0.7217
HIMACHAL PRADESH,CHAMBA,2019,49007,1392.7642,1011.7767,0.7265
HIMACHAL PRADESH,CHAMBA,2020,51678,1553.7708,1116.3971,0.7185
HIMACHAL PRADESH,CHAMBA,2021,57487,1751.8176,1249.4875,0.7133
HIMACHAL PRADESH,CHAMBA,2022,59761,1994.317,1409.2985,0.7067
HIMACHAL PRADESH,CHAMBA,2023,64135,2308.3588,1633.4739,0.7076
HIMACHAL PRADESH,CHAMBA,2024,72062,2745.1323,1934.1507,0.7046
HIMACHAL PRADESH,HAMIRPUR,2019,64492,1837.2647,1418.0061,0.7718
HIMACHAL PRADESH,HAMIRPUR,2020,68242,1997.1307,1458.6282,0.7304
HIMACHAL PRADESH,HAMIRPUR,2021,77915,2252.2842,1648.1009,0.7317
HIMACHAL PRADESH,HAMIRPUR,2022,83163,2681.4469,1945.9417,0.7257
HIMACHAL PRADESH,HAMIRPUR,2023,90643,3285.5221,2325.7885,0.7079
HIMACHAL PRADESH,HAMIRPUR,2024,100412,3913.3253,2740.7824,0.7004
HIMACHAL PRADESH,KANGRA,2019,180878,6147.5585,4504.3835,0.7327
HIMACHAL PRADESH,KANGRA,2020,200125,6863.3183,4823.1262,0.7027
HIMACHAL PRADESH,KANGRA,2021,224414,7565.4848,5474.6053,0.7236
HIMACHAL PRADESH,KANGRA,2022,236320,8673.2417,6136.4804,0.7075
HIMACHAL PRADESH,KANGRA,2023,248370,10162.111,7028.8564,0.6917
HIMACHAL PRADESH,KANGRA,2024,273165,12096.7191,8292.4719,0.6855
HIMACHAL PRADESH,KINNAUR,2019,13617,457.1951,356.535,0.7798
HIMACHAL PRADESH,KINNAUR,2020,13421,465.0444,352.4399,0.7579
HIMACHAL PRADESH,KINNAUR,2021,14516,499.2406,378.2635,0.7577
HIMACHAL PRADESH,KINNAUR,2022,15407,570.5107,433.7059,0.7602
HIMACHAL PRADESH,KINNAUR,2023,16942,666.8012,513.798,0.7705
HIMACHAL PRADESH,KINNAUR,2024,18803,766.1997,579.3889,0.7562
HIMACHAL PRADESH,KULU,2019,61450,2844.0355,2166.8007,0.7619
HIMACHAL PRADESH,KULU,2020,63076,3065.0764,2299.2257,0.7501
HIMACHAL PRADESH,KULU,2021,71881,3425.8815,2577.6874,0.7524
HIMACHAL PRADESH,KULU,2022,75021,3852.7776,2887.3282,0.7494
HIMACHAL PRADESH,KULU,2023,78974,4436.7377,3245.9847,0.7316
HIMACHAL PRADESH,KULU,2024,86809,5149.0634,3763.891,0.731
HIMACHAL PRADESH,LAHUL & SPITI,2019,4811,297.1518,235.6821,0.7931
HIMACHAL PRADESH,LAHUL & SPITI,2020,4161,143.1718,105.4109,0.7363
HIMACHAL PRADESH,LAHUL & SPITI,2021,4046,124.2792,94.9398,0.7639
HIMACHAL PRADESH,LAHUL & SPITI,2022,4443,161.0498,124.5852,0.7736
HIMACHAL PRADESH,LAHUL & SPITI,2023,4788,196.5259,157.0155,0.799
HIMACHAL PRADESH,LAHUL & SPITI,2024,5312,232.0112,181.5278,0.7824
HIMACHAL PRADESH,MANDI,2019,109483,3961.6739,2871.5696,0.7248
HIMACHAL PRADESH,MANDI,2020,114307,4123.052,2886.2123,0.7
HIMACHAL PRADESH,MANDI,2021,129002,4529.4952,3243.39,0.7161
HIMACHAL PRADESH,MANDI,2022,134992,5246.989,3730.093,0.7109
HIMACHAL PRADESH,MANDI,2023,144049,5862.978,4127.0093,0.7039
HIMACHAL PRADESH,MANDI,2024,160273,7148.0482,4928.309,0.6895
HIMACHAL PRADESH,SHIMLA,2019,147654,8159.3749,6160.5754,0.755
HIMACHAL PRADESH,SHIMLA,2020,157025,9356.2842,6619.1227,0.7075
HIMACHAL PRADESH,SHIMLA,2021,182429,10583.0477,7414.7687,0.7006
HIMACHAL PRADESH,SHIMLA,2022,198764,11260.1657,7978.2405,0.7085
HIMACHAL PRADESH,SHIMLA,2023,217069,12623.0634,8888.4133,0.7041
HIMACHAL PRADESH,SHIMLA,2024,238981,14896.7541,10219.0382,0.686
HIMACHAL PRADESH,SIRMAUR,2019,64408,3539.5843,2693.2509,0.7609
HIMACHAL PRADESH,SIRMAUR,2020,65748,3775.8301,2779.1916,0.736
HIMACHAL PRADESH,SIRMAUR,2021,73424,4262.0638,3101.2637,0.7276
HIMACHAL PRADESH,SIRMAUR,2022,78394,5052.9005,3695.4124,0.7313
HIMACHAL PRADESH,SIRMAUR,2023,83388,5894.6553,4251.8188,0.7213
HIMACHAL PRADESH,SIRMAUR,2024,91623,7116.7825,5051.2308,0.7098
HIMACHAL PRADESH,SOLAN,2019,124710,8394.1043,6062.0465,0.7222
HIMACHAL PRADESH,SOLAN,2020,139125,9568.7841,6800.7877,0.7107
HIMACHAL PRADESH,SOLAN,2021,157836,10454.0677,7313.1298,0.6995
HIMACHAL PRADESH,SOLAN,2022,172186,12415.8048,8655.1675,0.6971
HIMACHAL PRADESH,SOLAN,2023,181374,14531.0952,10165.9552,0.6996
HIMACHAL PRADESH,SOLAN,2024,195509,17652.585,12446.7406,0.7051
HIMACHAL PRADESH,UNA,2019,73469,2228.3227,1661.6822,0.7457
HIMACHAL PRADESH,UNA,2020,79302,2529.6607,1862.009,0.7361
HIMACHAL PRADESH,UNA,2021,88444,2855.5851,2097.8028,0.7346
HIMACHAL PRADESH,UNA,2022,92387,3430.0043,2470.3114,0.7202
HIMACHAL PRADESH,UNA,2023,97993,4025.5957,2823.856,0.7015
HIMACHAL PRADESH,UNA,2024,107072,4727.5362,3312.8081,0.7007
JAMMU & KASHMIR,ANANTNAG,2019,136227,4287.0409,3245.7227,0.7571
JAMMU & KASHMIR,ANANTNAG,2020,177312,4709.0715,3492.6353,0.7417
JAMMU & KASHMIR,ANANTNAG,2021,183314,5512.774,4147.6621,0.7524
JAMMU & KASHMIR,ANANTNAG,2022,179504,5953.5283,4455.114,0.7483
JAMMU & KASHMIR,ANANTNAG,2023,190601,6903.0252,5110.9907,0.7404
JAMMU & KASHMIR,ANANTNAG,2024,224485,7993.2264,5795.9639,0.7251
JAMMU & KASHMIR,BADGAM,2019,107022,3094.9239,2357.066,0.7616
JAMMU & KASHMIR,BADGAM,2020,136352,3525.7994,2676.446,0.7591
JAMMU & KASHMIR,BADGAM,2021,140086,4222.7853,3246.4113,0.7688
JAMMU & KASHMIR,BADGAM,2022,153540,5301.5046,4041.2013,0.7623
JAMMU & KASHMIR,BADGAM,2023,167697,6218.8608,4784.4912,0.7694
JAMMU & KASHMIR,BADGAM,2024,198971,6878.792,5192.3182,0.7548
JAMMU & KASHMIR,BANDIPORA,2019,45623,1088.7664,832.1687,0.7643
JAMMU & KASHMIR,BANDIPORA,2020,81030,1333.4043,999.315,0.7494
JAMMU & KASHMIR,BANDIPORA,2021,81095,1531.9159,1161.9755,0.7585
JAMMU & KASHMIR,BANDIPORA,2022,81155,1712.567,1287.9769,0.7521
JAMMU & KASHMIR,BANDIPORA,2023,85093,1980.5983,1490.8503,0.7527
JAMMU & KASHMIR,BANDIPORA,2024,87008,2127.888,1582.2883,0.7436
JAMMU & KASHMIR,BARAMULLA,2019,163872,4949.8376,3860.4181,0.7799
JAMMU & KASHMIR,BARAMULLA,2020,256245,5653.6609,4237.6316,0.7495
JAMMU & KASHMIR,BARAMULLA,2021,248329,6453.6235,4949.388,0.7669
JAMMU & KASHMIR,BARAMULLA,2022,255690,7217.7091,5490.3597,0.7607
JAMMU & KASHMIR,BARAMULLA,2023,270715,8268.8505,6214.3082,0.7515
JAMMU & KASHMIR,BARAMULLA,2024,309145,9654.2558,7123.1608,0.7378
JAMMU & KASHMIR,DODA,2019,47655,1310.8356,1001.0649,0.7637
JAMMU & KASHMIR,DODA,2020,69562,1416.508,1081.1117,0.7632
JAMMU & KASHMIR,DODA,2021,79606,1772.2397,1382.0481,0.7798
JAMMU & KASHMIR,DODA,2022,83312,2193.7456,1697.5318,0.7738
JAMMU & KASHMIR,DODA,2023,88156,2700.8317,2064.5859,0.7644
JAMMU & KASHMIR,DODA,2024,106403,3149.1061,2343.4267,0.7442
JAMMU & KASHMIR,GANDERBAL,2019,40646,1125.5504,855.2605,0.7599
JAMMU & KASHMIR,GANDERBAL,2020,56232,1375.0442,1044.0224,0.7593
JAMMU & KASHMIR,GANDERBAL,2021,60427,1644.129,1261.1191,0.767
JAMMU & KASHMIR,GANDERBAL,2022,63013,1930.6206,1470.7085,0.7618
JAMMU & KASHMIR,GANDERBAL,2023,69465,2159.7845,1619.2773,0.7497
JAMMU & KASHMIR,GANDERBAL,2024,84302,2526.6242,1872.2007,0.741
JAMMU & KASHMIR,JAMMU,2019,311659,16617.5771,12192.663,0.7337
JAMMU & KASHMIR,JAMMU,2020,406561,18563.0583,13117.1907,0.7066
JAMMU & KASHMIR,JAMMU,2021,439044,21462.9117,15157.7047,0.7062
JAMMU & KASHMIR,JAMMU,2022,468444,25461.0706,17992.3852,0.7067
JAMMU & KASHMIR,JAMMU,2023,525537,30254.1464,21742.1525,0.7187
JAMMU & KASHMIR,JAMMU,2024,601663,35528.2177,25112.7601,0.7068
JAMMU & KASHMIR,KARGIL,2019,23408,812.7423,607.8751,0.7479
JAMMU & KASHMIR,KATHUA,2019,80700,3405.3992,2373.9601,0.6971
JAMMU & KASHMIR,KATHUA,2020,109942,3925.0301,2660.3985,0.6778
JAMMU & KASHMIR,KATHUA,2021,126780,4512.7837,3014.5088,0.668
JAMMU & KASHMIR,KATHUA,2022,126731,5220.3376,3473.3317,0.6653
JAMMU & KASHMIR,KATHUA,2023,139509,6175.7526,4219.5819,0.6832
JAMMU & KASHMIR,KATHUA,2024,163854,7371.7047,5031.2571,0.6825
JAMMU & KASHMIR,KISHTWAR,2019,19359,538.6858,416.7546,0.7737
JAMMU & KASHMIR,KISHTWAR,2020,38484,782.5523,591.9467,0.7564
JAMMU & KASHMIR,KISHTWAR,2021,52212,1006.9551,780.9352,0.7755
JAMMU & KASHMIR,KISHTWAR,2022,52965,1260.7149,971.889,0.7709
JAMMU & KASHMIR,KISHTWAR,2023,58289,1585.3524,1209.9494,0.7632
JAMMU & KASHMIR,KISHTWAR,2024,71856,1903.1329,1424.2103,0.7484
JAMMU & KASHMIR,KULGAM,2019,59979,1446.8865,1109.399,0.7667
JAMMU & KASHMIR,KULGAM,2020,86478,1760.7044,1340.1967,0.7612
JAMMU & KASHMIR,KULGAM,2021,85708,2078.0306,1584.7151,0.7626
JAMMU & KASHMIR,KULGAM,2022,99132,2801.269,2101.0892,0.75
JAMMU & KASHMIR,KULGAM,2023,102586,2969.1887,2217.2117,0.7467
JAMMU & KASHMIR,KULGAM,2024,124148,3396.887,2511.7157,0.7394
JAMMU & KASHMIR,KUPWARA,2019,97187,2613.2006,2076.6837,0.7947
JAMMU & KASHMIR,KUPWARA,2020,183075,3190.7095,2455.8404,0.7697
JAMMU & KASHMIR,KUPWARA,2021,185308,3817.7058,3008.7161,0.7881
JAMMU & KASHMIR,KUPWARA,2022,188802,4423.4481,3420.051,0.7732
JAMMU & KASHMIR,KUPWARA,2023,196208,5016.1355,3778.7964,0.7533
JAMMU & KASHMIR,KUPWARA,2024,221043,5874.618,4378.7307,0.7454
JAMMU & KASHMIR,LEH LADAKH,2019,31252,1318.1296,943.7222,0.716
JAMMU & KASHMIR,POONCH,2019,37326,1127.697,869.5414,0.7711
JAMMU & KASHMIR,POONCH,2020,55607,1354.9241,1047.5878,0.7732
JAMMU & KASHMIR,POONCH,2021,71086,1705.2663,1343.5659,0.7879
JAMMU & KASHMIR,POONCH,2022,70984,2050.9817,1586.8251,0.7737
JAMMU & KASHMIR,POONCH,2023,75941,2361.3962,1780.5632,0.754
JAMMU & KASHMIR,POONCH,2024,83939,2724.1403,2024.1601,0.743
JAMMU & KASHMIR,PULWAMA,2019,87118,3177.6089,2467.5705,0.7765
JAMMU & KASHMIR,PULWAMA,2020,128152,3687.8299,2798.6329,0.7589
JAMMU & KASHMIR,PULWAMA,2021,130799,4462.9369,3459.139,0.7751
JAMMU & KASHMIR,PULWAMA,2022,127794,4875.5796,3774.1693,0.7741
JAMMU & KASHMIR,PULWAMA,2023,133891,5539.2422,4177.8987,0.7542
JAMMU & KASHMIR,PULWAMA,2024,158667,6498.8295,4861.6948,0.7481
JAMMU & KASHMIR,RAJOURI,2019,67978,1910.0783,1426.6715,0.7469
JAMMU & KASHMIR,RAJOURI,2020,100087,2351.1521,1747.8334,0.7434
JAMMU & KASHMIR,RAJOURI,2021,107730,2845.8993,2172.7135,0.7635
JAMMU & KASHMIR,RAJOURI,2022,113966,3449.5776,2599.8901,0.7537
JAMMU & KASHMIR,RAJOURI,2023,125787,4117.8592,3060.5154,0.7432
